Brand_Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price (INR Lakhs),Brand,Model,Car_Age
Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,775000.0,Renault,Duster 110PS Diesel RxZ Pack,12
Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,675000.0,Toyota,Corolla Altis G,13
Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1250000.0,Mahindra,Ssangyong Rexton RX7,12
Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1150000.0,Audi,A6 2.7 TDI,15
Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,698000.0,Volkswagen,Vento 1.6 Highline,11
Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,185000.0,Maruti,Wagon R LXI BSIII,16
Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,863000.0000000001,Maruti,Vitara Brezza ZDi Plus,7
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,484999.99999999994,Mahindra,KUV 100 mFALCON G80 K6 5str AW,8
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,2800000.0,Mercedes-Benz,M-Class ML 350 CDI,12
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,500000.0,Volkswagen,Polo Diesel Trendline 1.2L,12
Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,125000.0,Maruti,Alto LXi,17
Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,153000.0,Tata,Nano LX SE,11
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,558000.0,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,8
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,474000.0,Hyundai,i20 Magna Optional 1.2,11
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,885000.0,Hyundai,Elantra 2.0 SX Option AT,11
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1011000.0,Toyota,Corolla Altis G AT,9
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,425000.0,Hyundai,Elantra CRDi,17
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1095000.0,Toyota,Innova Crysta 2.7 GX MT,13
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,385000.0,Hyundai,Xcent 1.1 CRDi S,11
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,550000.0,Mahindra,Thar CRDe AC,13
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2143000.0,Audi,A4 2.0 TDI 177 Bhp Premium Plus,10
Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,425000.0,Maruti,Swift LDI,11
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,330000.0,Maruti,Swift Ldi BSIV,11
Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,385000.0,Maruti,Swift VDI,12
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,360000.0,Hyundai,Grand i10 Sportz,10
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,399000.0,Volkswagen,Vento 2013-2015 1.6 Comfortline,10
Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,330000.0,Renault,KWID RXT,8
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,206999.99999999997,Hyundai,i10 Asta,15
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,775000.0,Nissan,X-Trail SLX AT,15
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,225000.0,Maruti,Zen Estilo VXI BSIII,15
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,1650000.0,Toyota,Innova Crysta 2.4 GX MT 8S,8
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,275000.0,Ford,Figo Diesel Titanium,15
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,2670000.0,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,10
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1000000.0,Mercedes-Benz,New C-Class 200 CDI Classic,14
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,250000.0,Tata,Indica V2 eLS,9
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1350000.0,Audi,A4 2.0 TDI Multitronic,13
Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,185000.0,Honda,City ZX CVT,18
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,3567000.0,Mercedes-Benz,C-Class Progressive C 220d,6
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,815000.0,Maruti,Ertiga SHVS VDI,9
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1050000.0,Hyundai,Creta 1.4 E Plus Diesel,7
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,1450000.0,Porsche,Cayenne 2009-2014 Turbo,17
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,965000.0,Mahindra,XUV500 W8 4WD,10
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,348000.0,Hyundai,i10 Sportz 1.2 AT,13
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,692000.0,Nissan,Terrano XV D Pre,10
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,646000.0,Honda,Brio VX AT,9
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,2950000.0,Audi,A6 2.0 TDI Design Edition,11
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,97.7,5.0,200000.0,Ford,Fiesta 1.4 SXi TDCi,17
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,450000.0,Toyota,Innova 2.0 G1,19
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1175000.0,Toyota,Innova 2.5 VX 7 STR BSIV,13
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,97.7,5.0,130000.0,Hyundai,Santro Xing XL,20
Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,375000.0,Maruti,Swift VDI,13
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,450000.0,Tata,Zest Revotron 1.2T XE,8
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,482000.0,Honda,Amaze SX i-VTEC,9
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,280000.0,Ford,Figo Diesel ZXI,13
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,311000.0,Maruti,Ritz VDi,12
Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,325000.0,Honda,City i VTEC E,16
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,1390000.0,BMW,5 Series 2003-2012 525d,14
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,225000.0,Hyundai,i10 Sportz 1.2,16
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,575000.0,Hyundai,Grand i10 Sportz,9
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,97.7,5.0,210000.0,Hyundai,Santro Xing XO,18
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,500000.0,Honda,Amaze SX i-VTEC,9
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1650000.0,Toyota,Fortuner 4x2 Manual,11
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3958000.0,Audi,A6 2011-2015 35 TDI Premium,7
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,550000.0,Ford,Ecosport 1.5 DV5 MT Titanium Optional,12
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,810000.0,Mahindra,XUV500 W8 2WD,11
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0,Honda,Amaze SX i-DTEC,10
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,279000.0,Volkswagen,Polo Diesel Highline 1.2L,12
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,345000.0,Hyundai,Verna Transform SX VGT CRDi,15
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,445000.0,Maruti,Wagon R VXI BS IV,9
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,265000.0,Volkswagen,Polo Petrol Highline 1.6L,15
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,380000.0,Hyundai,i20 1.4 CRDi Sportz,14
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,465000.00000000006,Hyundai,i20 Asta 1.2,11
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,395000.0,Datsun,GO Plus T Petrol,8
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,980000.0000000001,Audi,A4 3.0 TDI Quattro Premium,15
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,270000.0,Hyundai,i20 2015-2017 Asta,16
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,241000.0,Maruti,Omni 5 Str STD,15
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,390000.0,Toyota,Etios Liva 1.2 G,11
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,2400000.0,Jaguar,XF 3.0 Litre S Premium Luxury,14
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,575000.0,Mahindra,XUV500 W8 2WD,13
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,525000.0,Hyundai,Verna 1.6 SX CRDI (O) AT,11
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1925000.0,Toyota,Innova Crysta 2.8 ZX AT,8
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,391000.0,Maruti,Eeco 5 Seater AC,8
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,215000.0,Tata,Nano Twist XT,11
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2075000.0,BMW,3 Series 320d Luxury Line,10
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,335000.0,Honda,Civic 2006-2010 1.8 V MT,15
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1111000.0,Toyota,Innova 2.5 VX (Diesel) 7 Seater,11
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2000000.0,Volvo,V40 Cross Country D3,11
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,655000.0,Nissan,Micra XV CVT,9
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,700000.0,BMW,5 Series 2010-2013 525i,16
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,750000.0,Maruti,Vitara Brezza VDi,9
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,85000.0,Hyundai,Santro Xing XL eRLX Euro III,20
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,1675000.0,Mercedes-Benz,B Class B200 CDI,11
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1095000.0,Hyundai,Verna CRDi 1.6 SX Option,7
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,245000.00000000003,Maruti,Wagon R LXI BS IV,14
Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,323000.0,Tata,Nano XTA,8
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,775000.0,Mahindra,Scorpio VLX,11
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,935000.0,Mercedes-Benz,New C-Class 200 K AT,16
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,325000.0,Maruti,Wagon R LXI CNG,12
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,525000.0,Honda,CR-V 2.4 MT,18
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,725000.0,Volkswagen,Vento 1.5 TDI Comfortline AT,10
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,747000.0,Maruti,Ciaz VXi Plus,8
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1325000.0,Mahindra,XUV500 AT W10 FWD,9
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,581000.0,Maruti,Ritz VXI ABS,9
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,260000.0,Maruti,Alto K10 VXI,11
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,5400000.0,Mercedes-Benz,SLC 43 AMG,8
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1150000.0,Hyundai,Verna VTVT 1.6 AT SX Plus,6
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,160000.0,Maruti,Alto LXi BSIII,15
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,1722000.0,BMW,1 Series 118d Base,10
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,600000.0,Honda,Jazz 1.2 V CVT i VTEC,10
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,395000.0,Honda,Civic 2006-2010 1.8 V MT,13
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,1795000.0,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,11
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,370000.0,Honda,Amaze SX i-DTEC,11
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,543000.0,Maruti,Swift VVT VXI,9
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,167000.0,Hyundai,Santro Xing XO eRLX Euro II,17
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1349000.0,Toyota,Fortuner 3.0 Diesel,13
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,285000.0,Chevrolet,Beat LT Option,11
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,475000.0,Skoda,Rapid 1.5 TDI Elegance,12
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,990000.0,Maruti,Ciaz 1.4 Alpha,7
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,3700000.0,Audi,RS5 Coupe,12
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,2650000.0,BMW,3 Series Luxury Line,11
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2332000.0,Audi,A4 2.0 TDI 177 Bhp Premium Plus,10
Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,625000.0,Maruti,Swift VDI,9
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,3000000.0,Mercedes-Benz,S Class 2005 2013 S 500,15
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,986000.0,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,9
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,850000.0,Skoda,Superb Elegance 2.0 TDI CR AT,13
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,423000.00000000006,Hyundai,EON Magna Plus,6
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,350000.0,Volkswagen,Polo Diesel Trendline 1.2L,13
Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,250000.0,Datsun,GO NXT,9
Honda Brio S MT,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,239000.0,Honda,Brio S MT,12
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1125000.0,Mercedes-Benz,B Class B180,12
Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,711000.0,Honda,City i DTEC V,10
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1090000.0,Toyota,Innova 2.5 G (Diesel) 7 Seater,9
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,620000.0,Maruti,Swift VXI Optional,8
